Summary :
	C	Count	Total
	-	-----	-----
	1	    1	    1
	2	   75	   76
	3	   32	   33
	4	  132	  208
	6	   96	  204
	8	   48	  256

Schema :
	N	P 	Xor PermutationInt64
	-	--	--------------------
	0	 1	0000 0000  0000 0000
 152	FBEA 7362  D9C8 5140	4	F 2031	F 1302	4x1
 153	FB73 D951  EA62 C840	4	F 2310	F 3201	4x1
 154	F7E6 D5C4  B3A2 9180	4	F 3012	F 1230	4x1
 155	F7B3 E6A2  D591 C480	4	F 3201	F 2310	4x1
 156	1302 5746  9B8A DFCE	4	1 1023	2 1023	2x2
 157	1302 9B8A  5746 DFCE	4	1 1032	2 1032	2x2
 158	1537 0426  9DBF 8CAE	4	1 2103	4 2103	2x2
 159	159D 048C  37BF 26AE	4	1 2301	4 2301	2x2
 160	193B 5D7F  082A 4C6E	4	1 3120	8 3120	2x2
 161	195D 3B7F  084C 2A6E	4	1 3210	8 3210	2x2
 162	2367 0145  ABEF 89CD	4	2 0213	4 0213	2x2
 163	23AB 67EF  0189 45CD	4	2 0321	8 0321	2x2
 164	2031 6475  A8B9 ECFD	4	2 1023	1 1023	2x2
 165	2031 A8B9  6475 ECFD	4	2 1032	1 1032	2x2
 166	26AE 37BF  048C 159D	4	2 2301	8 2301	2x2
 167	2A6E 084C  3B7F 195D	4	2 3210	4 3210	2x2
 168	3276 1054  BAFE 98DC	4	3 0213	5 0213	2x2
 169	32BA 76FE  1098 54DC	4	3 0321	9 0321	2x2
 170	3715 2604  BF9D AE8C	4	3 2103	6 2103	2x2
 171	37BF 26AE  159D 048C	4	3 2301	C 2301	2x2
 172	3B19 7F5D  2A08 6E4C	4	3 3120	A 3120	2x2
 173	3B7F 195D  2A6E 084C	4	3 3210	C 3210	2x2
 174	4567 CDEF  0123 89AB	4	4 0132	8 0132	2x2
 175	4501 6723  CD89 EFAB	4	4 0213	2 0213	2x2
 176	4657 CEDF  0213 8A9B	4	4 1032	8 1032	2x2
 177	4062 5173  C8EA D9FB	4	4 2103	1 2103	2x2
 178	40C8 51D9  62EA 73FB	4	4 2301	1 2301	2x2
 179	4C08 6E2A  5D19 7F3B	4	4 3210	2 3210	2x2
 180	5476 DCFE  1032 98BA	4	5 0132	9 0132	2x2
 181	5410 7632  DC98 FEBA	4	5 0213	3 0213	2x2
 182	5746 1302  DFCE 9B8A	4	5 1023	6 1023	2x2
 183	5746 DFCE  1302 9B8A	4	5 1032	A 1032	2x2
 184	5D7F 193B  4C6E 082A	4	5 3120	C 3120	2x2
 185	5D19 7F3B  4C08 6E2A	4	5 3210	A 3210	2x2
 186	6745 EFCD  2301 AB89	4	6 0132	A 0132	2x2
 187	67EF 23AB  45CD 0189	4	6 0321	C 0321	2x2
 188	6475 2031  ECFD A8B9	4	6 1023	5 1023	2x2
 189	6475 ECFD  2031 A8B9	4	6 1032	9 1032	2x2
 190	6240 7351  EAC8 FBD9	4	6 2103	3 2103	2x2
 191	62EA 73FB  40C8 51D9	4	6 2301	9 2301	2x2
 192	7654 FEDC  3210 BA98	4	7 0132	B 0132	2x2
 193	76FE 32BA  54DC 1098	4	7 0321	D 0321	2x2
 194	7564 FDEC  3120 B9A8	4	7 1032	B 1032	2x2
 195	73FB 62EA  51D9 40C8	4	7 2301	D 2301	2x2
 196	7F5D 3B19  6E4C 2A08	4	7 3120	E 3120	2x2
 197	7F3B 5D19  6E2A 4C08	4	7 3210	E 3210	2x2
 198	89AB 0123  CDEF 4567	4	8 0132	4 0132	2x2
 199	8901 CD45  AB23 EF67	4	8 0321	2 0321	2x2
 200	8A9B 0213  CEDF 4657	4	8 1032	4 1032	2x2
 201	8C04 9D15  AE26 BF37	4	8 2301	2 2301	2x2
 202	80A2 C4E6  91B3 D5F7	4	8 3120	1 3120	2x2
